name	AAs	terminus	labelAtoms	formula	losses	id	monoMass	structural	shortName	hidden	type
Dioxidation (M)	M		None	O2		425	31.989829	true	2Ox	false	non_hardcoded
Formyl (N-term)		N	None	CO		122	27.994915	true	Frm	false	non_hardcoded
Gln->pyro-Glu (N-term Q)	Q	N	None	-H3N		28	-17.026549	true	PGQ	false	non_hardcoded
Glu->pyro-Glu (N-term E)	E	N	None	-H2O		27	-18.010565	true	PGE	false	non_hardcoded
Guanidinyl (K)	K		None	H2CN2		52	42.021798	true	1Gu	false	non_hardcoded
ICAT-C (C)	C		None	C10H17N3O3		105	227.126991	true	C0I	false	non_hardcoded
ICPL (K)	K		None	C6H3NO		365	105.021464	true	IP0	false	non_hardcoded
ICPL:13C(6) (K)	K		None	H3C'6NO		364	111.041593	true	IP6	false	non_hardcoded
iTRAQ4plex (K)	K		None	H12C4C'3NN'O		214	144.102063	true	IT4	false	non_hardcoded
iTRAQ4plex (N-term)		N	None	H12C4C'3NN'O		214	144.102063	true	IT4	false	non_hardcoded
iTRAQ4plex (Y)	Y		None	H12C4C'3NN'O		214	144.102063	true	IT4	false	non_hardcoded
iTRAQ8plex (K)	K		None	C'7N'C7H24N3O3		730	304.20536	true	IT8	false	non_hardcoded
iTRAQ8plex (N-term)		N	None	C'7N'C7H24N3O3		730	304.20536	true	IT8	false	non_hardcoded
iTRAQ8plex (Y)	Y		None	C'7N'C7H24N3O3		730	304.20536	true	IT8	false	non_hardcoded
Met->Hse (C-term M)	M	C	None	O - H2CS		10	-29.992806	true	Hse	false	non_hardcoded
Met->Hsl (C-term M)	M	C	None	-H4CS		11	-48.003371	true	Hsl	false	non_hardcoded
Methyl (C-term)		C	None	CH2		34	14.01565	true	1Me	false	non_hardcoded
Methyl (DE)	D, E		None	CH2		34	14.01565	true	1Me	false	non_hardcoded
Methylthio (C)	C		None	H2CS		39	45.987721	true	MSH	false	non_hardcoded
mTRAQ (K)	K		None	C7H12N2O		888	140.094963	true	M00	false	non_hardcoded
mTRAQ (N-term)		N	None	C7H12N2O		888	140.094963	true	M00	false	non_hardcoded
mTRAQ (Y)	Y		None	C7H12N2O		888	140.094963	true	M00	false	non_hardcoded
NIPCAM (C)	C		None	H9C5NO		17	99.068414	true	icM	false	non_hardcoded
Oxidation (HW)	H, W		None	O		35	15.994915	true	Oxi	false	non_hardcoded
Oxidation (M)	M		None	O	H4COS	35	15.994915	true	Oxi	false	non_hardcoded
Phospho (ST)	S, T		None	HO3P	H3O4P	21	79.966331	true	Pho	false	non_hardcoded
Phospho (Y)	Y		None	HO3P		21	79.966331	true	Pho	false	non_hardcoded
Propionamide (C)	C		None	C3H5NO		24	71.037114	true	PPa	false	non_hardcoded
Pyridylethyl (C)	C		None	H7C7N		31	105.057849	true	Pye	false	non_hardcoded
Pyro-carbamidomethyl (N-term C)	C	N	None	C2O		26	39.994915	true	PyC	false	non_hardcoded
Sulfo (STY)	S, T, Y		None	O3S	O3S	40	79.956815	true	SuO	false	non_hardcoded
TMT2plex (K)	K		None	H20C11C'N2O2		738	225.155833	true	TM2	false	non_hardcoded
TMT2plex (N-term)		N	None	H20C11C'N2O2		738	225.155833	true	TM2	false	non_hardcoded
TMT6plex (K)	K		None	H20C8C'4NN'O2		737	229.162932	true	TM6	false	non_hardcoded
TMT6plex (N-term)		N	None	H20C8C'4NN'O2		737	229.162932	true	TM6	false	non_hardcoded
TMTpro (K)	K		None	H25C8C'7NN'2O3		2016	304.207146	true		false	non_hardcoded
TMTpro (N-term)		N	None	H25C8C'7NN'2O3		2016	304.207146	true		false	non_hardcoded
ICAT-C:13C(9) (C)	C		None	C'9 - C9		106	236.157185	false	C9I	false	non_hardcoded
ICPL:13C(6)2H(4) (K)	K		None	C'6H'4 - C6H4		866	115.0667	false		false	non_hardcoded
ICPL:13C(6)2H(4) (N-term)		N	None	C'6H'4 - C6H4		866	115.0667	false		false	non_hardcoded
ICPL:2H(4) (K)	K		None	H'4 - H4		687	109.046571	false	IP4	false	non_hardcoded
Label:18O(1) (C-term)		C	None	O' - O		258	2.004246	false	Ob1	false	non_hardcoded
Label:18O(2) (C-term)		C	None	O'2 - O2		193	4.008491	false	Ob2	false	non_hardcoded
mTRAQ:13C(3)15N(1) (K)	K		None	C'3N' - C3N		889	144.102063	false	M04	false	non_hardcoded
mTRAQ:13C(3)15N(1) (N-term)		N	None	C'3N' - C3N		889	144.102063	false	M04	false	non_hardcoded
mTRAQ:13C(3)15N(1) (Y)	Y		None	C'3N' - C3N		889	144.102063	false	M04	false	non_hardcoded
mTRAQ:13C(6)15N(2) (K)	K		None	C'6N'2 - C6N2		1302	148.109162	false	M08	false	non_hardcoded
mTRAQ:13C(6)15N(2) (N-term)		N	None	C'6N'2 - C6N2		1302	148.109162	false	M08	false	non_hardcoded
mTRAQ:13C(6)15N(2) (Y)	Y		None	C'6N'2 - C6N2		1302	148.109162	false	M08	false	non_hardcoded
15N-oxobutanoic (N-term C)	C	N	None	-H3N'		1419	-18.023584	true		true	non_hardcoded
15N-oxobutanoic (Protein N-term S)	S	N	None	-H3N'		1419	-18.023584	true		true	non_hardcoded
15N-oxobutanoic (Protein N-term T)	T	N	None	-H3N'		1419	-18.023584	true		true	non_hardcoded
2-dimethylsuccinyl (C)	C		None	H8C6O4		1262	144.042259	true		true	non_hardcoded
2-monomethylsuccinyl (C)	C		None	H6C5O4		1253	130.026609	true		true	non_hardcoded
2-nitrobenzyl (Y)	Y		None	H5C7NO2		1032	135.032028	true		true	non_hardcoded
2-succinyl (C)	C		None	H4C4O4		957	116.010959	true		true	non_hardcoded
2HPG (R)	R		None	H10C16O5		187	282.052824	true	2HG	true	non_hardcoded
3-deoxyglucosone (R)	R		None	H8C6O4		949	144.042259	true		true	non_hardcoded
3-hydroxybenzyl-phosphate (K)	K		None	H7C7O4P		2041	186.008196	true		true	non_hardcoded
3-hydroxybenzyl-phosphate (S)	S		None	H7C7O4P		2041	186.008196	true		true	non_hardcoded
3-hydroxybenzyl-phosphate (T)	T		None	H7C7O4P		2041	186.008196	true		true	non_hardcoded
3-hydroxybenzyl-phosphate (Y)	Y		None	H7C7O4P		2041	186.008196	true		true	non_hardcoded
3-phosphoglyceryl (K)	K		None	H5C3O6P		1387	167.982375	true		true	non_hardcoded
3sulfo (N-term)		N	None	H4C7O4S		748	183.983029	true		true	non_hardcoded
4-ONE (C)	C		None	H14C9O2		721	154.09938	true		true	non_hardcoded
4-ONE (H)	H		None	H14C9O2		721	154.09938	true		true	non_hardcoded
4-ONE (K)	K		None	H14C9O2		721	154.09938	true		true	non_hardcoded
4-ONE+Delta:H(-2)O(-1) (C)	C		None	H12C9O		743	136.088815	true		true	non_hardcoded
4-ONE+Delta:H(-2)O(-1) (H)	H		None	H12C9O		743	136.088815	true		true	non_hardcoded
4-ONE+Delta:H(-2)O(-1) (K)	K		None	H12C9O		743	136.088815	true		true	non_hardcoded
4AcAllylGal (C)	C		None	H24C17O9		901	372.142033	true		true	non_hardcoded
6C-CysPAT (D)	D		None	H16C8NO4P		2057	221.081695	true		true	non_hardcoded
6C-CysPAT (E)	E		None	H16C8NO4P		2057	221.081695	true		true	non_hardcoded
6C-CysPAT (H)	H		None	H16C8NO4P		2057	221.081695	true		true	non_hardcoded
6C-CysPAT (K)	K		None	H16C8NO4P		2057	221.081695	true		true	non_hardcoded
6C-CysPAT (S)	S		None	H16C8NO4P		2057	221.081695	true		true	non_hardcoded
6C-CysPAT (T)	T		None	H16C8NO4P		2057	221.081695	true		true	non_hardcoded
6C-CysPAT (Y)	Y		None	H16C8NO4P		2057	221.081695	true		true	non_hardcoded
a-type-ion (C-term)		C	None	-H2CO2		140	-46.005479	true		true	non_hardcoded
AccQTag (K)	K		None	H6C10N2O		194	170.048013	true	AQT	true	non_hardcoded
AccQTag (N-term)		N	None	H6C10N2O		194	170.048013	true	AQT	true	non_hardcoded
Acetyl (C)	C		None	C2H2O		1	42.010565	true	1Ac	true	non_hardcoded
Acetyl (H)	H		None	C2H2O		1	42.010565	true	1Ac	true	non_hardcoded
Acetyl (R)	R		None	C2H2O		1	42.010565	true	1Ac	true	non_hardcoded
Acetyl (S)	S		None	C2H2O		1	42.010565	true	1Ac	true	non_hardcoded
Acetyl (T)	T		None	C2H2O		1	42.010565	true	1Ac	true	non_hardcoded
Acetyl (Y)	Y		None	C2H2O		1	42.010565	true	1Ac	true	non_hardcoded
Acetyldeoxyhypusine (K)	K		None	H11C6NO		1042	113.084064	true	Adh	true	non_hardcoded
Acetylhypusine (K)	K		None	H11C6NO2		1043	129.078979	true	Ahp	true	non_hardcoded
ADP-Ribosyl (C)	C		None	H21C15N5O13P2		213	541.06111	true	ADR	true	non_hardcoded
ADP-Ribosyl (D)	D		None	H21C15N5O13P2		213	541.06111	true	ADR	true	non_hardcoded
ADP-Ribosyl (E)	E		None	H21C15N5O13P2		213	541.06111	true	ADR	true	non_hardcoded
ADP-Ribosyl (K)	K		None	H21C15N5O13P2		213	541.06111	true	ADR	true	non_hardcoded
ADP-Ribosyl (N)	N		None	H21C15N5O13P2	H21C15N5O13P2	213	541.06111	true	ADR	true	non_hardcoded
ADP-Ribosyl (R)	R		None	H21C15N5O13P2		213	541.06111	true	ADR	true	non_hardcoded
ADP-Ribosyl (ST)	S, T		None	H21C15N5O13P2	H21C15N5O13P2	213	541.06111	true	ADR	true	non_hardcoded
AEBS (H)	H		None	H9C8NO2S		276	183.035399	true	AEB	true	non_hardcoded
AEBS (K)	K		None	H9C8NO2S		276	183.035399	true	AEB	true	non_hardcoded
AEBS (S)	S		None	H9C8NO2S		276	183.035399	true	AEB	true	non_hardcoded
AEBS (Y)	Y		None	H9C8NO2S		276	183.035399	true	AEB	true	non_hardcoded
AEC-MAEC (S)	S		None	C2H5NS - O		472	59.019355	true	Aec	true	non_hardcoded
AEC-MAEC (T)	T		None	C2H5NS - O		472	59.019355	true	Aec	true	non_hardcoded
AFB1_Dialdehyde (K)	K		None	H10C17O6		1920	310.047738	true		true	non_hardcoded
AHA-Alkyne (M)	M		None	H5C4N5O - S		1000	107.077339	true		true	non_hardcoded
AHA-Alkyne-KDDDD (M)	M		None	H37C26N11O14 - S		1001	695.280074	true		true	non_hardcoded
AHA-SS (M)	M		None	H9C7N5O2		1249	195.075625	true		true	non_hardcoded
AHA-SS_CAM (M)	M		None	H12C9N6O3		1250	252.097088	true		true	non_hardcoded
Ahx2+Hsl (C-term)		C	None	H27C16N3O3		1015	309.205242	true		true	non_hardcoded
Amidine (K)	K		None	H3C2N		141	41.026549	true	Ame	true	non_hardcoded
Amidine (N-term)		N	None	H3C2N		141	41.026549	true	Ame	true	non_hardcoded
Amidino (C)	C		None	H2CN2		440	42.021798	true	Amd	true	non_hardcoded
Amino (Y)	Y		None	HN		342	15.010899	true	Amn	true	non_hardcoded
Ammonia-loss (N)	N		None	-H3N		385	-17.026549	true	dAm	true	non_hardcoded
Ammonia-loss (Protein N-term S)	S	N	None	-H3N		385	-17.026549	true	dAm	true	non_hardcoded
Ammonia-loss (Protein N-term T)	T	N	None	-H3N		385	-17.026549	true	dAm	true	non_hardcoded
Ammonium (C-term)		C	None	H3N		989	17.026549	true	Amm	true	non_hardcoded
Ammonium (DE)	D, E		None	H3N		989	17.026549	true	Amm	true	non_hardcoded
AMTzHexNAc2 (N)	N		None	H30C19N6O10		934	502.202341	true		true	non_hardcoded
AMTzHexNAc2 (S)	S		None	H30C19N6O10		934	502.202341	true		true	non_hardcoded
AMTzHexNAc2 (T)	T		None	H30C19N6O10		934	502.202341	true		true	non_hardcoded
Andro-H2O (C)	C		None	H28C20O4		2025	332.19876	true		true	non_hardcoded
Archaeol (C)	C		None	H86C43O2		410	634.662782	true	Ach	true	non_hardcoded
Arg (N-term)		N	None	H12C6N4O		1288	156.101111	true		true	non_hardcoded
Arg->GluSA (R)	R		None	O - H5CN3		344	-43.053433	true	AGA	true	non_hardcoded
Arg->Npo (R)	R		None	C3NO2 - H		837	80.985078	true		true	non_hardcoded
Arg->Orn (R)	R		None	-H2CN2		372	-42.021798	true	Orn	true	non_hardcoded
Arg-loss (C-term R)	R	C	None	-H12C6N4O		1287	-156.101111	true	-1R	true	non_hardcoded
Arg2PG (R)	R		None	H10C16O4		848	266.057909	true		true	non_hardcoded
Argbiotinhydrazide (R)	R		None	H13C9NO2S		343	199.066699	true		true	non_hardcoded
AROD (C)	C		None	H52C35N10O9S2		938	820.336015	true		true	non_hardcoded
Aspartylurea (H)	H		None	O2 - H2CN2		1916	-10.031969	true		true	non_hardcoded
Atto495Maleimide (C)	C		None	H32C27N5O3		935	474.250515	true		true	non_hardcoded
AzidoF (F)	F		None	N3 - H		1845	41.001397	true		true	non_hardcoded
azole (C)	C		None	-H4O		1355	-20.026215	true		true	non_hardcoded
azole (S)	S		None	-H4O		1355	-20.026215	true		true	non_hardcoded
Bacillosamine (N)	N		None	H16C10N2O4	H16C10N2O4	910	228.111007	true		true	non_hardcoded
BADGE (C)	C		None	H24C21O4		493	340.167459	true		true	non_hardcoded
BDMAPP (H)	H		None	H12C11NOBr		684	253.010225	true		true	non_hardcoded
BDMAPP (K)	K		None	H12C11NOBr		684	253.010225	true		true	non_hardcoded
BDMAPP (W)	W		None	H12C11NOBr		684	253.010225	true		true	non_hardcoded
BDMAPP (Y)	Y		None	H12C11NOBr		684	253.010225	true		true	non_hardcoded
BEMAD_C (C)	C		None	C4H8O2S		736	120.0245	true		true	non_hardcoded
BEMAD_ST (S)	S		None	C4H8OS2		735	136.001656	true		true	non_hardcoded
BEMAD_ST (T)	T		None	C4H8OS2		735	136.001656	true		true	non_hardcoded
Benzoyl (K)	K		None	H4C7O		136	104.026215	true	Boy	true	non_hardcoded
Benzoyl (N-term)		N	None	H4C7O		136	104.026215	true	Boy	true	non_hardcoded
benzylguanidine (K)	K		None	H8C8N2		1349	132.068748	true		true	non_hardcoded
betaFNA (C)	C		None	H30C25N2O6		1839	454.210387	true		true	non_hardcoded
betaFNA (K)	K		None	H30C25N2O6		1839	454.210387	true		true	non_hardcoded
BHT (C)	C		None	H22C15O		176	218.167065	true	BHT	true	non_hardcoded
BHT (H)	H		None	H22C15O		176	218.167065	true	BHT	true	non_hardcoded
BHT (K)	K		None	H22C15O		176	218.167065	true	BHT	true	non_hardcoded
BHTOH (C)	C		None	H22C15O2		498	234.16198	true		true	non_hardcoded
BHTOH (H)	H		None	H22C15O2		498	234.16198	true		true	non_hardcoded
BHTOH (K)	K		None	H22C15O2		498	234.16198	true		true	non_hardcoded
Biotin (K)	K		None	C10H14N2O2S		3	226.077598	true	Btn	true	non_hardcoded
Biotin (N-term)		N	None	C10H14N2O2S		3	226.077598	true	Btn	true	non_hardcoded
Biotin-HPDP (C)	C		None	H32C19N4O3S2		290	428.191582	true		true	non_hardcoded
Biotin-PEG-PRA (M)	M		None	H42C26N8O7		895	578.317646	true		true	non_hardcoded
Biotin-PEO-Amine (D)	D		None	H28C16N4O3S		289	356.188212	true		true	non_hardcoded
Biotin-PEO-Amine (E)	E		None	H28C16N4O3S		289	356.188212	true		true	non_hardcoded
Biotin-phenacyl (C)	C		None	H38C29N8O6S		774	626.263502	true		true	non_hardcoded
Biotin-phenacyl (H)	H		None	H38C29N8O6S		774	626.263502	true		true	non_hardcoded
Biotin-phenacyl (S)	S		None	H38C29N8O6S		774	626.263502	true		true	non_hardcoded
Biotin-tyramide (C)	C		None	H23C18N3O3S		1830	361.146012	true		true	non_hardcoded
Biotin-tyramide (W)	W		None	H23C18N3O3S		1830	361.146012	true		true	non_hardcoded
Biotin-tyramide (Y)	Y		None	H23C18N3O3S		1830	361.146012	true		true	non_hardcoded
Biotin:Aha-DADPS (M)	M		None	C42H70N8O11SSi		2052	922.465403	true		true	non_hardcoded
Biotin:Aha-PC (M)	M		None	C29H38N8O10S		2053	690.24316	true		true	non_hardcoded
Biotin:Cayman-10013 (C)	C		None	C36H60N4O5S		539	660.428442	true		true	non_hardcoded
Biotin:Cayman-10141 (C)	C		None	C35H54N4O4S		538	626.386577	true		true	non_hardcoded
Biotin:Invitrogen-M1602 (C)	C		None	C23H33N5O7S		1012	523.210069	true		true	non_hardcoded
Biotin:Sigma-B1267 (C)	C		None	C20H27N5O5S		993	449.17329	true		true	non_hardcoded
Biotin:Thermo-21325 (K)	K		None	C34H45N7O7S		884	695.310118	true		true	non_hardcoded
Biotin:Thermo-21328 (K)	K		None	C15H23N3O3S3		1841	389.090154	true		true	non_hardcoded
Biotin:Thermo-21328 (N-term)		N	None	C15H23N3O3S3		1841	389.090154	true		true	non_hardcoded
Biotin:Thermo-21330 (K)	K		None	C21H35N3O7S		1423	473.219571	true		true	non_hardcoded
Biotin:Thermo-21330 (N-term)		N	None	C21H35N3O7S		1423	473.219571	true		true	non_hardcoded
Biotin:Thermo-21345 (Q)	Q		None	C15H25N3O2S		800	311.166748	true		true	non_hardcoded
Biotin:Thermo-21360 (C-term)		C	None	C21H37N5O6S		811	487.246455	true		true	non_hardcoded
Biotin:Thermo-21901+2H2O (C)	C		None	C23H39N5O9S		1320	561.246849	true		true	non_hardcoded
Biotin:Thermo-21901+H2O (C)	C		None	C23H37N5O8S		1039	543.236284	true		true	non_hardcoded
Biotin:Thermo-21911 (C)	C		None	C41H71N5O16S		1340	921.461652	true		true	non_hardcoded
Biotin:Thermo-33033 (N-term)		N	None	C25H36N6O4S2		1251	548.223945	true		true	non_hardcoded
Biotin:Thermo-33033-H (N-term)		N	None	C25H34N6O4S2		1252	546.208295	true		true	non_hardcoded
Biotin:Thermo-88310 (K)	K		None	C10H16N2O2		1031	196.121178	true		true	non_hardcoded
Biotin:Thermo-88317 (S)	S		None	C22H42N3O4P		1037	443.291294	true		true	non_hardcoded
Biotin:Thermo-88317 (Y)	Y		None	C22H42N3O4P		1037	443.291294	true		true	non_hardcoded
biotinAcrolein298 (C)	C		None	H22C13N4O2S		1314	298.146347	true		true	non_hardcoded
biotinAcrolein298 (H)	H		None	H22C13N4O2S		1314	298.146347	true		true	non_hardcoded
biotinAcrolein298 (K)	K		None	H22C13N4O2S		1314	298.146347	true		true	non_hardcoded
BisANS (K)	K		None	H22C32N2O6S2		519	594.091928	true		true	non_hardcoded
bisANS-sulfonates (K)	K		None	H22C32N2		1330	434.178299	true		true	non_hardcoded
bisANS-sulfonates (S)	S		None	H22C32N2		1330	434.178299	true		true	non_hardcoded
bisANS-sulfonates (T)	T		None	H22C32N2		1330	434.178299	true		true	non_hardcoded
BITC (C)	C		None	H7C8NS		978	149.02992	true		true	non_hardcoded
BITC (K)	K		None	H7C8NS		978	149.02992	true		true	non_hardcoded
BITC (N-term)		N	None	H7C8NS		978	149.02992	true		true	non_hardcoded
BMP-piperidinol (C)	C		None	H17C18NO		1281	263.131014	true		true	non_hardcoded
BMP-piperidinol (M)	M		None	H17C18NO		1281	263.131014	true		true	non_hardcoded
Brij35 (N-term)		N	None	H24C12		1837	168.187801	true		true	non_hardcoded
Brij58 (N-term)		N	None	H32C16		1838	224.250401	true		true	non_hardcoded
Bromo (F)	F		None	Br - H		340	77.910511	true	1Br	true	non_hardcoded
Bromo (H)	H		None	Br - H		340	77.910511	true	1Br	true	non_hardcoded
Bromo (W)	W		None	Br - H		340	77.910511	true	1Br	true	non_hardcoded
Bromo (Y)	Y		None	Br - H		340	77.910511	true	1Br	true	non_hardcoded
Bromobimane (C)	C		None	H10C10N2O2		301	190.074228	true	Bbi	true	non_hardcoded
Butyryl (K)	K		None	H6C4O		1289	70.041865	true	Byr	true	non_hardcoded
C8-QAT (K)	K		None	H29C14NO		513	227.224915	true		true	non_hardcoded
C8-QAT (N-term)		N	None	H29C14NO		513	227.224915	true		true	non_hardcoded
CAF (N-term)		N	None	H4C3O4S		272	135.983029	true	CAF	true	non_hardcoded
CAMthiopropanoyl (K)	K		None	H7C5NO2S		293	145.019749	true	Ctp	true	non_hardcoded
Can-FP-biotin (S)	S		None	H34C19N3O5PS		333	447.195679	true		true	non_hardcoded
Can-FP-biotin (T)	T		None	H34C19N3O5PS		333	447.195679	true		true	non_hardcoded
Can-FP-biotin (Y)	Y		None	H34C19N3O5PS		333	447.195679	true		true	non_hardcoded
Carbamidomethyl (D)	D		None	H3C2NO		4	57.021464	true	CAM	true	non_hardcoded
Carbamidomethyl (E)	E		None	H3C2NO		4	57.021464	true	CAM	true	non_hardcoded
Carbamidomethyl (H)	H		None	H3C2NO		4	57.021464	true	CAM	true	non_hardcoded
Carbamidomethyl (K)	K		None	H3C2NO		4	57.021464	true	CAM	true	non_hardcoded
Carbamidomethyl (M)	M		None	H3C2NO	H7C3NOS	4	57.021464	true	CAM	true	non_hardcoded
Carbamidomethyl (S)	S		None	H3C2NO		4	57.021464	true	CAM	true	non_hardcoded
Carbamidomethyl (T)	T		None	H3C2NO		4	57.021464	true	CAM	true	non_hardcoded
Carbamidomethyl (U)	U		None	H3C2NO		4	57.021464	true	CAM	true	non_hardcoded
Carbamidomethyl (Y)	Y		None	H3C2NO		4	57.021464	true	CAM	true	non_hardcoded
CarbamidomethylDTT (C)	C		None	H11C6NO3S2		893	209.018035	true		true	non_hardcoded
Carbamyl (C)	C		None	HCNO		5	43.005814	true	CRM	true	non_hardcoded
Carbamyl (M)	M		None	HCNO		5	43.005814	true	CRM	true	non_hardcoded
Carbamyl (R)	R		None	HCNO		5	43.005814	true	CRM	true	non_hardcoded
Carbamyl (S)	S		None	HCNO		5	43.005814	true	CRM	true	non_hardcoded
Carbamyl (T)	T		None	HCNO		5	43.005814	true	CRM	true	non_hardcoded
Carbamyl (Y)	Y		None	HCNO		5	43.005814	true	CRM	true	non_hardcoded
Carbofuran (S)	S		None	H3C2NO		977	57.021464	true		true	non_hardcoded
Carbonyl (A)	A		None	O - H2		1918	13.979265	true		true	non_hardcoded
Carbonyl (E)	E		None	O - H2		1918	13.979265	true		true	non_hardcoded
Carbonyl (I)	I		None	O - H2		1918	13.979265	true		true	non_hardcoded
Carbonyl (L)	L		None	O - H2		1918	13.979265	true		true	non_hardcoded
Carbonyl (Q)	Q		None	O - H2		1918	13.979265	true		true	non_hardcoded
Carbonyl (R)	R		None	O - H2		1918	13.979265	true		true	non_hardcoded
Carbonyl (S)	S		None	O - H2		1918	13.979265	true		true	non_hardcoded
Carbonyl (V)	V		None	O - H2		1918	13.979265	true		true	non_hardcoded
Carboxy (D)	D		None	CO2		299	43.989829	true	Cox	true	non_hardcoded
Carboxy (E)	E		None	CO2		299	43.989829	true	Cox	true	non_hardcoded
Carboxy (K)	K		None	CO2		299	43.989829	true	Cox	true	non_hardcoded
Carboxy (Protein N-term M)	M	N	None	CO2		299	43.989829	true	Cox	true	non_hardcoded
Carboxy (W)	W		None	CO2		299	43.989829	true	Cox	true	non_hardcoded
Carboxy->Thiocarboxy (Protein C-term G)	G	C	None	S - O		420	15.977156	true	Scx	true	non_hardcoded
Carboxyethyl (H)	H		None	H4C3O2		378	72.021129	true	CEt	true	non_hardcoded
Carboxyethyl (K)	K		None	H4C3O2		378	72.021129	true	CEt	true	non_hardcoded
Carboxyethylpyrrole (K)	K		None	H6C7O2		1800	122.036779	true		true	non_hardcoded
Carboxymethyl (K)	K		None	C2H2O2		6	58.005479	true	Cmc	true	non_hardcoded
Carboxymethyl (N-term)		N	None	C2H2O2		6	58.005479	true	Cmc	true	non_hardcoded
Carboxymethyl (U)	U		None	C2H2O2		6	58.005479	true	Cmc	true	non_hardcoded
Carboxymethyl (W)	W		None	C2H2O2		6	58.005479	true	Cmc	true	non_hardcoded
CarboxymethylDMAP (N-term)		N	None	H10C9N2O		1350	162.079313	true		true	non_hardcoded
CarboxymethylDTT (C)	C		None	H10C6O4S2		894	210.00205	true	CmD	true	non_hardcoded
Cation:Ag (C-term)		C	None	Ag - H		955	105.897267	true	1Ag	true	non_hardcoded
Cation:Ag (DE)	D, E		None	Ag - H		955	105.897267	true	1Ag	true	non_hardcoded
Cation:Al[III] (C-term)		C	None	Al - H3		1910	23.958063	true		true	non_hardcoded
Cation:Al[III] (DE)	D, E		None	Al - H3		1910	23.958063	true		true	non_hardcoded
Cation:Ca[II] (C-term)		C	None	Ca - H2		951	37.946941	true	1Ca	true	non_hardcoded
Cation:Ca[II] (DE)	D, E		None	Ca - H2		951	37.946941	true	1Ca	true	non_hardcoded
Cation:Cu[I] (C-term)		C	None	Cu - H		531	61.921774	true	CuX	true	non_hardcoded
Cation:Cu[I] (DE)	D, E		None	Cu - H		531	61.921774	true	CuX	true	non_hardcoded
Cation:Cu[I] (H)	H		None	Cu - H		531	61.921774	true	CuX	true	non_hardcoded
Cation:Fe[II] (C-term)		C	None	Fe - H2		952	53.919289	true	1Fe	true	non_hardcoded
Cation:Fe[II] (DE)	D, E		None	Fe - H2		952	53.919289	true	1Fe	true	non_hardcoded
Cation:Fe[III] (C-term)		C	None	Fe - H3		1870	52.911464	true		true	non_hardcoded
Cation:Fe[III] (DE)	D, E		None	Fe - H3		1870	52.911464	true		true	non_hardcoded
Cation:K (C-term)		C	None	K - H		530	37.955882	true	KXX	true	non_hardcoded
Cation:K (DE)	D, E		None	K - H		530	37.955882	true	KXX	true	non_hardcoded
Cation:Li (C-term)		C	None	Li - H		950	6.008178	true	1Li	true	non_hardcoded
Cation:Li (DE)	D, E		None	Li - H		950	6.008178	true	1Li	true	non_hardcoded
Cation:Mg[II] (C-term)		C	None	Mg - H2		956	21.969392	true	1Mg	true	non_hardcoded
